LIWC Feature,Extraversion correlation,Agreeableness correlation,Conscientiousness correlation,Neuroticism correlation,Openness correlation,Writing_Extraversion correlation,Writing_Agreeableness correlation,Writing_Conscientiousness correlation,Writing_Neuroticism correlation,Writing_Openness correlation,Word_Length correlation,Story correlation,Extraversion p-value,Agreeableness p-value,Conscientiousness p-value,Neuroticism p-value,Openness p-value,Writing_Extraversion p-value,Writing_Agreeableness p-value,Writing_Conscientiousness p-value,Writing_Neuroticism p-value,Writing_Openness p-value,Word_Length p-value,Story p-value
achieve,0.41230790378727117,0.3914089203817297,0.43421334147993806,0.04669154609599049,0.4089367500056374,0.4422880060242852,0.3467638757627121,0.18197885589596635,0.11625414802216981,0.4237264682089259,-0.05011944022387892,-0.21823962297510743,1.0922260196395162e-06,4.130039774504633e-06,2.451746710081144e-07,0.5978383004455967,1.3619421707610001e-06,1.3757648865658371e-07,5.307197529350773e-05,0.03824919890956828,0.18778158543815257,5.079341069582661e-07,0.5711990695730393,0.01261609019801285
adverb,-0.3964945656907591,-0.4337105227759644,-0.3786285252998272,-0.2692384819128775,-0.5036236241460453,-0.3970942003512275,-0.3607785149927826,-0.19259623177875074,-0.18671488150710192,-0.40478549530887664,0.439004879946483,0.04205626076086047,3.0128592753526467e-06,2.5403140243470314e-07,8.9184724201986e-06,0.0019512770490867004,1.0112549924682154e-09,2.901872787243651e-06,2.4791404243324833e-05,0.028140499808349564,0.03341518910780131,1.781379050324583e-06,1.7432375487399806e-07,0.6347198363306523
affect,0.5317864515826779,0.5070277934673009,0.4966375042257276,0.24889131063441938,0.46732419621208876,0.4819265160084518,0.46759605133656007,0.36553210552745546,0.2859906065513229,0.4907386804237714,0.13169972038997907,-0.051527757393722076,7.494630432481339e-11,7.476105320172601e-10,1.8604308084350579e-09,0.004297355999949729,2.079359233439785e-08,6.4273880902821745e-09,2.0354148437911384e-08,1.8993842276938255e-05,0.0009721131684636169,3.0801442471892008e-09,0.13527525772669274,0.5604188046307044
anger,-0.6563141091142898,-0.6106471810217177,-0.6655136416433931,-0.3393374173520358,-0.6497338881776684,-0.6389956522631953,-0.6514521667746158,-0.4373117893168649,-0.2825984930035817,-0.6294703027594014,0.3043435841406936,0.08436374259036479,2.32031680917089e-17,1.2196798486509254e-14,5.748123181852088e-18,7.830791812284775e-05,6.113082611049545e-17,2.825197489228039e-16,4.7577386616130015e-17,1.9676814816996612e-07,0.0011233245683993421,1.0452162290476273e-15,0.0004308487377260702,0.3399282175236261
anx,-0.0849196100198691,-0.17314275209021318,-0.07707504324648118,-0.17540021895495575,-0.11402531991931654,-0.1688272238896881,-0.17344628401241693,0.0032568270429690653,-0.023779926232089903,-0.07130143243524306,0.21845985766867487,-0.018664320481868783,0.3367444187090456,0.04884186405457782,0.3834262682565659,0.04592767317229641,0.19644386239360645,0.054839980300670214,0.048441323100050705,0.9706644124937769,0.7882742992181571,0.42016420901956164,0.012524678113648201,0.8330675058158701
article,0.2854412143032426,0.24233650607478788,0.18621141251375314,0.0922794223368794,0.21993608085899322,0.20636402177225135,0.24665258290657405,0.1620739523361316,0.09604336657519358,0.17470595411375658,0.21127180167154735,0.04461124518646765,0.0009952654890486897,0.005471010916592413,0.033903228785899575,0.2963857465161915,0.011926773813604534,0.018492759222268125,0.004670025178027347,0.06543422787398608,0.2770361019328817,0.0468080835420073,0.01582589427203459,0.6142720021049581
assent,-0.12989629477244294,-0.15171980236272892,-0.16682703692204984,-0.04925239209217227,-0.10843564078287747,-0.15959701344144625,-0.18369384942468506,-0.03018224851409279,-0.039873175011295205,-0.1414321258326786,0.1340976208187832,0.02605022219726039,0.14075381121479263,0.08486057736292707,0.057819147618120056,0.577884210995224,0.2194318702620402,0.06971542865653241,0.03643491467269726,0.7331904702658177,0.6524130397282162,0.10847643891182344,0.12824482125572687,0.7686054563006929
auxverb,-0.19916330566069837,-0.17257803884205986,-0.19414805695430665,-0.13818926983369445,-0.2607912928335754,-0.17343916060163436,-0.157187265264029,-0.015041202848780452,-0.06606160440129072,-0.16471407486098416,0.2755094530134494,-0.09275369185910527,0.023105399173291068,0.04959437110005961,0.02687326982301284,0.11690098938015178,0.0027283191092930315,0.04845069182220659,0.0740958661778074,0.865128607995684,0.4552086147836202,0.061109377882431856,0.0015108786812241188,0.29389960103986545
bio,-0.0420378243902882,0.11218237529177007,0.04525555175282644,0.07147060618144425,0.060964387633590786,-0.0013549099534264763,0.17761002412946342,0.16955128000039363,-0.007451732272806691,0.07817240437323114,0.3064579500282452,-0.014679484071004098,0.6348684152684503,0.20382199608717094,0.609161170262196,0.4190595076041923,0.49080511968502594,0.9877935180204649,0.043216652758031986,0.05379321742191383,0.9329424216172651,0.3766703000909998,0.00039093399233238054,0.868342452757917
body,-0.238750193175227,-0.10962204452950647,-0.16725817187597186,-0.03447619327328477,-0.12114980219336943,-0.25257763599391775,-0.1485818267034826,-0.04667683589905642,-0.1477502178398948,-0.19541337873535825,0.15935722307189457,0.021979877777368362,0.006227480966893886,0.21439988263146756,0.05716600257936286,0.6969740903212214,0.16973919625327716,0.0037414679798628996,0.09158226468476989,0.5979538106291534,0.09343271207073477,0.025876346045838588,0.07014168163694866,0.8039651822275903
cause,0.3098040519485763,0.3380681527090017,0.3532743177173968,0.11048733474785599,0.39647930738019316,0.31128237846650936,0.28379215562737786,0.07077352788181454,0.20900687522584532,0.337907458087013,-0.10269774237577453,-0.16312072957832707,0.00033468606810976186,8.360950329783321e-05,3.743136218287128e-05,0.21078208485358785,3.01573526355709e-06,0.0003123033093043207,0.001067822425947228,0.4236222667865799,0.01701198576439776,8.430411528950808e-05,0.244950252974185,0.06369054377077296
certain,0.13968990726926708,0.2060973941670597,0.18009929096960273,0.01944565309620443,0.18651518555162527,0.20479736379105776,0.23005765362957037,0.19299089617386306,0.005305499675263286,0.24229376220983423,0.14019831956522044,0.02246472266007887,0.11294147656812405,0.018648161424184094,0.04032416030838303,0.826187398207807,0.03360804975896968,0.019422153202272103,0.00845984349704048,0.027813483010559855,0.9522287663809721,0.005479521417505317,0.11162395287876861,0.7997308559437974
cogmech,-0.08618734100899737,-0.05424923432737104,-0.020536939837838147,-0.21129709995780444,-0.11290122121298225,-0.0983865359482623,-0.04861962910854803,0.05769586482543749,-0.0680172358729964,-0.011294042722599205,0.5360446089703175,-0.08736993396834201,0.32955449359838596,0.5398669767880555,0.8166000999717125,0.01581306268796994,0.2009207758049792,0.26542975526078577,0.5827858062436297,0.5143856628871537,0.44194271403407415,0.898519143862827,4.950858328476027e-11,0.32293670790453044
conj,0.2063223444991826,0.1873038752949592,0.19185194373373768,0.026235171452881543,0.10856042715817651,0.15477967793872097,0.15038898796483716,0.13985035734015028,0.044768803951867844,0.1372704462375895,0.3702066482223453,-0.14132282151338307,0.01851697645575893,0.032851797180128144,0.028766128414008895,0.7670094168031699,0.21889869541278123,0.07869175487162591,0.08766144113258088,0.11252437716757852,0.6130204749971404,0.11937800891717161,1.4556350099623423e-05,0.10875244802941073
death,-0.06642166238605562,0.0640397812336528,0.07086847140923656,-0.06382683734947658,0.07140869141325668,-0.04752334719743034,0.09912187362478114,0.05460828696478126,0.013470318860384033,0.043597092559544866,-0.17554457634009632,-0.17255403332233119,0.45274967374465414,0.4691533796341979,0.4229991249525642,0.4706355474351096,0.419463613855633,0.5913230429483383,0.2618566696850244,0.5371836158362625,0.8791011199733278,0.6223541239875074,0.04574635265767656,0.049626571342676645
discrep,-0.6202903938081129,-0.6575166913932425,-0.6208825852505004,-0.46760601221596043,-0.7265920424718305,-0.6213750222998995,-0.6575434012284314,-0.3619061028367149,-0.37399370722161224,-0.6558337617215494,0.3910680775556243,0.014422785347246794,3.5362804553797003e-15,1.938768195546106e-17,3.2728208766456396e-15,2.0338217440408577e-08,1.3161778188239355e-22,3.068369151859238e-15,1.931029762371395e-17,2.3282221783190827e-05,1.1697993800814277e-05,2.4923693372779005e-17,4.2174837629611825e-06,0.8706245102027785
excl,-0.41357439538915025,-0.48677241849605274,-0.43191507722772,-0.27225394634462413,-0.5037479324730726,-0.4530014119378927,-0.4243618242553416,-0.23250973952108495,-0.14787932712265467,-0.3935480599833226,0.4199605093872134,0.14899755482566707,1.004693980381261e-06,4.3000865739e-09,2.8821506164437333e-07,0.0017267277837506032,1.0002200733688657e-09,6.243463006901827e-08,4.86344720788629e-07,0.00776778080946257,0.09314349729497319,3.619226978114671e-06,6.558833829200936e-07,0.09066818631429671
family,0.051095024874618374,0.048451893424768674,0.027345286641450025,0.1002221752192212,0.07082899152011457,0.0685401102516558,0.028928150854941215,0.017497820719212166,0.10288301501544782,0.08100058493409075,0.009595348087873759,0.06650155508304574,0.563720861876279,0.5840883502377816,0.757450291816121,0.25657177520125585,0.42325817843855773,0.4384332451477948,0.7438838459508738,0.8433626441482108,0.24409541807438223,0.35959584247651744,0.9137183420092874,0.45220506996226917
feel,0.12488222466200136,0.0432719241145839,0.1117341758632779,0.015513755286567866,0.10522246584273624,0.08305525628427694,0.03629516436095822,-0.01501551366654707,0.03783620120380825,0.08950455050961115,0.034666648862221885,-0.03062079032925778,0.15687133427414127,0.6249551162106699,0.20564608392176179,0.8609333410406687,0.233479245308369,0.34749772411541613,0.681830273065357,0.8653567824289283,0.6690984732308256,0.3112097768351123,0.6953827244275652,0.7294630557203162
filler,0.024935266894236842,-0.07697921773367046,-0.06254819207090989,-0.11215198643217951,-0.10127974223509513,-0.05680321061883071,-0.04302527600011281,0.07587179211078857,-0.04088680076555418,-0.03983349377755119,0.1725976731396525,0.0014494009849404233,0.778247405006969,0.3840196844934767,0.47958888416047574,0.2039453040848841,0.251561565081053,0.5209253542325827,0.6269311170057865,0.39091784023764775,0.6441731080779174,0.6527364776931148,0.049568047152621315,0.9869423141275155
friend,0.22715156887420915,0.2435696198502044,0.24544804406694082,0.17580612276334306,0.16743749850684317,0.20517017392231265,0.25159386489097474,0.3193619562502494,0.12266587300073138,0.23657911058030864,0.0627399631011376,-0.03873219488891476,0.009350155018556877,0.005230513903221158,0.004882277624396788,0.04541935461522148,0.05689612465183212,0.01919740867967613,0.003883118716924327,0.00021257021720440036,0.1644211788386275,0.006729402905621594,0.478240237838893,0.661738621819042
funct,-0.4401998423855883,-0.40528382244064765,-0.41457294083716884,-0.2884515238601259,-0.5355253055255207,-0.44607516481443166,-0.3873070153322139,-0.1408693396001828,-0.16541673836743137,-0.42779270245958173,0.8687202577081056,0.09389861237724273,1.5997830174851837e-07,1.7252114908525628e-06,9.404280879858497e-07,0.0008743331246510426,5.209254586420786e-11,1.0437491613512377e-07,5.306269476840734e-06,0.10990342281113727,0.05999861559161344,3.840744532802008e-07,7.096040555113851e-41,0.2879549763267765
future,-0.26139391801941414,-0.3306109693263131,-0.35229443874377986,-0.2390024804640035,-0.34337390947026003,-0.2767554653783071,-0.334037387534942,-0.10424656346248357,-0.11103480866261545,-0.26467870049682696,0.23705615311109796,-0.137071904305008,0.0026647886836978912,0.00012216243839901063,3.9470270921781855e-05,0.006171371820271359,6.346136728337373e-05,0.0014349841254702625,0.00010275221963795491,0.23786777640558085,0.20851574504700804,0.0023414021219548375,0.006616137005737035,0.11991855153444016
health,0.020809110045585274,0.11160098730494493,0.08656986164735261,0.04854415354502867,0.08867186621324451,0.05627372048075041,0.21386787456081338,0.2113292510965917,0.05066284566887622,0.15527801441447522,0.13825711850431163,0.09270386942096553,0.8142131596478694,0.20619038884254048,0.32740447604645206,0.5833717426345276,0.3157508460416906,0.5248243569387919,0.014555387724122059,0.015796768306309383,0.5670279154859219,0.07772212129090804,0.1167196722568143,0.2941601211883048
hear,-0.45428774121848053,-0.41634041584964104,-0.4785591282887733,-0.16090734931623035,-0.4249396020514162,-0.4546950626443787,-0.4137088439450396,-0.30502982906822557,-0.19495949128262485,-0.4653971063098811,0.13203019152228615,0.24418156870652571,5.668014107555836e-08,8.361480673325351e-07,8.467305385325098e-09,0.0674231411831772,4.6747346732712827e-07,5.4966370132923513e-08,9.958038294081001e-07,0.0004174995047143843,0.026230258892654318,2.418004793561257e-08,0.13428922699123994,0.005114705267488736
home,-0.17458652103232927,-0.16527909128631313,-0.1190689253633416,0.017304168092308128,-0.14683881772247645,-0.19896137708452433,-0.16213491898759286,-0.11236375258417151,0.050396170136527786,-0.17233119567491736,0.1619098511105744,0.04130810822446776,0.04696094460717348,0.06021489360183812,0.1772444634950231,0.8450743701648368,0.09549462168352092,0.023247843473185963,0.06533161606366514,0.2030871416849485,0.5690731011250203,0.04992630651295265,0.06571107610922203,0.6407608286546096
humans,0.08030820782964103,0.14270329532310158,0.12049601712875425,0.10256140332385862,0.16828441950047504,0.10375311824690384,0.15166371366018236,0.01846691855247888,0.10076027613572942,0.09279374711270988,-0.1191400151697859,0.04734704258617964,0.3637308270338774,0.10530663271172772,0.1720714427828897,0.24558063619213685,0.055635669164833285,0.24010852490239248,0.08497716131982812,0.8348077725146663,0.25401403756346974,0.29369026415273447,0.176984093178257,0.5927012902819936
i,-0.5105954268676608,-0.4852841899834522,-0.5105923011526956,-0.27803133902209237,-0.6179534115105141,-0.4964611165995896,-0.4465861690069431,-0.2117493315041678,-0.18791166695695455,-0.5085377764511326,0.5515506488774078,0.08812854970005139,5.42792375823899e-10,4.868270967246875e-09,5.429455286998367e-10,0.0013608842834419634,4.792358252553988e-15,1.88895352273789e-09,1.0053093267220464e-07,0.015585206380529666,0.03227887124780196,6.531642016184071e-10,1.040505793559321e-11,0.3187369039417372
incl,0.6362677211664262,0.686746268388779,0.6572687844560723,0.36484058677655884,0.6587056137798105,0.6125504628544006,0.6473838556609484,0.43752038144749383,0.2833195538610739,0.6760733159763813,-0.043869040630818076,-0.1674967888884121,4.128405663299685e-16,1.8861167830446033e-19,2.0120496842618083e-17,1.9749508188862943e-05,1.621962269939983e-17,9.584485519871905e-15,8.590489787088451e-17,1.9386080481303262e-07,0.0010894902622025793,1.08881321438642e-18,0.6201824066615629,0.05680712625488659
ingest,0.048865972575966456,0.11410913115142915,0.052350186972400556,0.13961057504330548,0.04002621488669814,0.12472485418961021,0.1672026568385749,0.10679411754111097,0.10393128136065584,0.0966428583776026,0.15860111953988512,-0.12416210283869222,0.5808752687156007,0.1961129861827705,0.5541687271592592,0.1131481497149505,0.6511662315043201,0.15739868606218588,0.05724976300690456,0.22653150622786533,0.23929779156477277,0.2740346339678204,0.07149959219345982,0.15929534197056255
inhib,-0.4154449265530467,-0.4294287623485582,-0.37586473610600785,-0.2685962440159344,-0.47181281419857507,-0.4315954015964429,-0.4710754420401686,-0.255120553611878,-0.2289035557595516,-0.46323604039908317,0.27603740527209664,0.13046292658412184,8.875241114709648e-07,3.428652371714813e-07,1.0489742401924669e-05,0.0020023968963546216,1.4578880962286336e-08,2.9474456480688426e-07,1.5459976843009196e-08,0.0033965782838715052,0.008804026608438003,2.8606284482389343e-08,0.0014782858370450721,0.1390145977838391
insight,-0.5494802235324692,-0.5126817327391971,-0.47040235577244316,-0.41399357985058116,-0.5816126380502062,-0.5593868187731382,-0.48444547634693713,-0.21892336620764144,-0.2815819945795682,-0.512056976003067,0.3959615321200361,0.15709276049110116,1.287407144412328e-11,4.4934240865636463e-10,1.630869410543932e-08,9.772226155620397e-07,3.9808822201928027e-13,4.586139496396616e-12,5.219588597769715e-09,0.012334182618539444,0.0011726533975593343,4.755627299633641e-10,3.1148859540358567e-06,0.07427208632882566
ipron,-0.12067271574809597,-0.12429001733886541,-0.029145631878797314,-0.23360217260899108,-0.14173567325742908,-0.1260111373377411,-0.08504962286976414,0.1036565903617156,-0.07427023257616473,-0.01897910933541622,0.2779134970297074,-0.023416667367889384,0.17143878226862708,0.15886273490973918,0.742025872259881,0.007475946370784569,0.10771281036327372,0.15312706780776053,0.3360024978229045,0.24054857430072482,0.4010244929740995,0.8302940479646885,0.0013675791074828673,0.791434189375841
leisure,0.5303753705853851,0.4267893298094529,0.4206427446975991,0.17769709204166123,0.4126517489713468,0.4976038217689692,0.46653790239172116,0.37870743091085485,0.16595265705181775,0.44151624355402114,0.046163969192429787,-0.07100297952568299,8.587584358611052e-11,4.1163991740691353e-07,6.26346002474915e-07,0.04311263342089505,1.067770040686127e-06,1.7113826975532504e-09,2.2116430643340945e-08,8.877057119316113e-06,0.059162609216154696,1.4548212941602198e-07,0.6019872848619812,0.42211721790530576
money,0.0559639644220206,-0.016703240391062052,-0.010040542221903401,0.03848539106486355,0.05204424826417301,0.06616748314958065,0.06737769283801825,0.0835336979016163,-0.027824365323587945,0.12945352813422648,0.05430798284600235,-0.10190370212788993,0.5271121317428833,0.8503906332430129,0.9097316898589917,0.6637627288025694,0.5564897755489435,0.4544847676664109,0.44625677252677665,0.34471777116121005,0.7533361807941679,0.14212430284229483,0.5394274695866657,0.2486374025843322
