LIWC Feature,Extraversion correlation,Agreeableness correlation,Conscientiousness correlation,Neuroticism correlation,Openness correlation,Writing_Extraversion correlation,Writing_Agreeableness correlation,Writing_Conscientiousness correlation,Writing_Neuroticism correlation,Writing_Openness correlation,Word_Length correlation,Story correlation,Extraversion p-value,Agreeableness p-value,Conscientiousness p-value,Neuroticism p-value,Openness p-value,Writing_Extraversion p-value,Writing_Agreeableness p-value,Writing_Conscientiousness p-value,Writing_Neuroticism p-value,Writing_Openness p-value,Word_Length p-value,Story p-value
achieve,0.021918693173812818,0.05943538023518116,0.10789246167126239,0.060245310782604214,0.0978836629775403,0.06052874928491467,0.07514771814183219,0.12656204480501146,-0.0559264257074815,0.05402162060610019,-0.13311141965350912,-0.2527951533988862,0.8044999365027895,0.5017640461674724,0.22176344427046596,0.4959431019673072,0.26789229073562637,0.49391448338571586,0.3954680422482373,0.15132444520862195,0.5273897238376342,0.5415714626738888,0.13110151189667354,0.0037107818288729744
adverb,-0.056772859813661494,-0.09781114332408752,-0.05467108007901487,-0.11189423913531311,-0.06441578719168535,0.00952093460687398,-0.05466646975770384,-0.041378074508038105,-0.06070854735882285,-0.02478070004693091,0.36078352769431815,0.1371127616916101,0.5211484492832732,0.2682486905295853,0.5367150162836195,0.2049933154787697,0.46654248123586417,0.9143849165324148,0.5367494143302928,0.6401948767178003,0.49262991569394743,0.7795867772110254,2.478449617455456e-05,0.11980716027103003
affect,0.0924999818512578,0.016044755846695825,0.07329961204505205,-0.05360087788063478,-0.0068392603803635625,0.057663962781474676,0.06854372720963842,0.059735234092630006,-0.016189169728936983,-0.0354130734710289,0.5369172848278808,-0.13383338550860938,0.29522783759812044,0.856223806713644,0.4072243535968497,0.5447291683940123,0.938442705720943,0.5146186520747533,0.4384090238354108,0.4996048487728405,0.8549438428271832,0.689158747251194,4.5442839420454656e-11,0.12900548910174653
anger,-0.22830525488549264,-0.20312236148516694,-0.17467621327672347,-0.07572312568089226,-0.1706555352262332,-0.19378886036383633,-0.16070988985574408,-0.051944180012838966,-0.04260917196607173,-0.2059415330335791,0.18675718176579717,0.09728799058222665,0.00898727598630906,0.020460161652168938,0.046846109766603826,0.39184951232095844,0.05222858542842543,0.02716217700019393,0.06776459991189591,0.5572499731367149,0.6302706974251535,0.018739525995120663,0.03337445704200522,0.27082927438328314
anx,0.006666586875125867,-0.06990775106641878,-0.020428543167852416,-0.08403238483914635,-0.05668835643524699,-0.04533779114253418,0.004897797603151184,0.0009463239838813606,-0.001015191082096371,-0.05593773250820142,0.09502872953618346,-0.0988013905854751,0.9399939305138718,0.42932905047035685,0.8175512114219916,0.3418351511122715,0.5217698513934091,0.608510170312461,0.9558959043272136,0.9914743302995553,0.9908539153144756,0.5273061043097154,0.28216634290142883,0.2634098727959267
article,-0.025830821283936566,0.04608757593395375,0.07068110249750847,0.018788701409933446,-0.014870751882332256,-0.03214986405580722,0.044539721766627696,0.04785747426256578,0.07482166728085898,-0.0005833699081519813,0.38584247776649566,0.1494162602583015,0.7705000572435449,0.602589120474063,0.4242293908717609,0.8319713960656475,0.8666427810024779,0.7165164453362344,0.6148404966548711,0.5887150329012705,0.39752728565277795,0.9947442131617943,5.798227320227485e-06,0.08975490685019194
assent,0.046581537451807674,-0.05727641698414813,0.06771156175183926,0.03325143992911798,0.06523550760142642,-0.009370716746228054,-0.07849044944779028,-0.028103788655426013,0.022817276333645393,-0.04155391381376741,0.2859112869507112,-0.031898129749163166,0.5987023735912274,0.5174533255246972,0.4440016991781869,0.7072388451896383,0.4608782555103752,0.9157307057013663,0.37472588460393963,0.7509398029694699,0.7966555184673894,0.6387734393809137,0.0009754251038916314,0.7186424561223963
auxverb,-0.04881660834119785,-0.0506485190700772,-0.12074928443831547,-0.10343737462906753,-0.10633850876072924,-0.045729269715134954,0.0030067004158206936,-0.027591394779258184,-0.07163485843038557,-0.0484363888019984,0.18010826934263152,0.0041584018900473,0.5812578849871144,0.567137700374474,0.17116516697884582,0.24155001519846803,0.22853042214240507,0.6054154673274754,0.9729165155286894,0.7553359700661215,0.4179885607297741,0.584208818283945,0.040314028735743156,0.9625488122144956
bio,0.006223834235112105,-0.02909265468503509,0.04022892604343215,-0.04441689278987285,-0.05000079635620598,0.0025005548249561545,0.06145058018577712,0.09131361857702269,-0.01727967203624484,0.005140404610236804,0.5085660598118695,0.34221102073645326,0.9439724449397541,0.7424783281469101,0.6495162376338528,0.6158173201491177,0.5721116897640259,0.9774744096951673,0.4873472392004047,0.30149141335962,0.8452909463370727,0.9537136228257145,6.515098950207855e-10,6.74434405091769e-05
body,-0.16229966930804418,-0.14001793024084072,-0.042808741661466775,-0.19851447054441249,-0.09616522320465876,-0.08181483435010481,-0.04877817377488633,-0.06472836752087763,-0.08378117977692272,-0.09204422182869816,0.27962093464008103,0.1395704027802237,0.06505498375900687,0.1120900437434864,0.6286680476631565,0.02356578112544118,0.2764242184434436,0.3547705211073696,0.5815558673556529,0.46437807595400404,0.343285311696537,0.29762382279995125,0.0012734491605764563,0.11325291714439727
