Subject_ID,Group,Experimental_condition,achieve,adverb,affect,anger,anx,article,assent,auxverb,bio,body,cause,certain,cogmech,conj,death,discrep,excl,family,feel,filler,friend,funct,future,health,hear,home,humans,i,incl,ingest,inhib,insight,ipron,leisure,money,motion,negate,negemo,nonfl,number,past,percept,posemo,ppron,preps,present,pronoun,quant,relativ,relig,sad,see,sexual,shehe,social,space,tentat,they,time,verb,we,work,you
1,Analytic,1,11,12,50,0.0,7.0,52,0.0,23,3.0,3.0,7,6.0,104,40,0.0,6.0,8,0.0,9.0,1.0,2.0,308,2.0,0.0,6.0,1.0,5.0,47.0,39,0.0,2.0,32,24,8.0,1.0,8,5.0,9.0,0.0,2.0,37,20,41,63,92,4,87,7,79,1.0,2.0,3.0,0.0,9.0,52,47,9.0,2.0,23,47,5.0,0.0,0.0
2,Analytic,1,16,9,58,0.0,4.0,53,0.0,20,2.0,0.0,11,6.0,88,32,0.0,1.0,4,0.0,5.0,0.0,7.0,286,0.0,1.0,1.0,2.0,5.0,36.0,34,0.0,1.0,28,25,10.0,0.0,13,1.0,4.0,0.0,1.0,37,12,54,59,94,5,84,8,73,0.0,0.0,3.0,1.0,7.0,80,41,5.0,6.0,18,46,10.0,3.0,0.0
3,Analytic,1,16,19,42,2.0,3.0,50,0.0,24,10.0,5.0,9,8.0,132,44,0.0,4.0,6,0.0,4.0,0.0,0.0,343,3.0,5.0,2.0,0.0,5.0,67.0,46,1.0,4.0,41,35,0.0,2.0,22,3.0,6.0,1.0,1.0,28,15,32,71,95,10,106,16,116,3.0,0.0,3.0,0.0,0.0,34,53,11.0,3.0,42,46,1.0,15.0,0.0
4,Analytic,1,12,13,68,1.0,3.0,60,0.0,25,15.0,6.0,10,4.0,102,40,0.0,5.0,4,0.0,8.0,0.0,3.0,331,0.0,5.0,9.0,1.0,7.0,67.0,49,1.0,1.0,29,21,14.0,2.0,15,0.0,4.0,0.0,0.0,30,26,63,79,100,15,100,8,106,6.0,0.0,5.0,3.0,0.0,40,58,2.0,2.0,25,52,9.0,2.0,0.0
5,Analytic,1,26,12,53,0.0,10.0,55,0.0,28,11.0,3.0,8,10.0,123,49,0.0,4.0,8,0.0,3.0,0.0,4.0,359,1.0,4.0,0.0,2.0,5.0,57.0,53,0.0,4.0,25,35,13.0,2.0,17,3.0,11.0,0.0,5.0,35,8,42,70,98,14,105,18,96,1.0,1.0,1.0,4.0,2.0,40,45,14.0,2.0,31,56,8.0,10.0,1.0
6,Analytic,1,8,14,45,3.0,13.0,49,0.0,26,3.0,2.0,5,6.0,94,38,0.0,5.0,9,5.0,4.0,1.0,0.0,316,2.0,1.0,5.0,5.0,9.0,61.0,36,0.0,4.0,25,29,5.0,0.0,17,5.0,16.0,0.0,1.0,33,14,26,62,94,11,91,12,102,0.0,1.0,1.0,0.0,1.0,50,53,11.0,0.0,30,50,0.0,3.0,0.0
7,Analytic,1,13,13,25,0.0,2.0,64,0.0,22,7.0,4.0,10,2.0,124,50,0.0,9.0,16,0.0,2.0,0.0,1.0,363,5.0,1.0,5.0,0.0,2.0,72.0,45,2.0,4.0,31,34,4.0,4.0,21,4.0,3.0,0.0,5.0,19,14,22,75,96,15,109,11,111,0.0,1.0,5.0,0.0,0.0,20,63,13.0,3.0,25,43,0.0,7.0,0.0
8,Analytic,1,20,15,56,6.0,8.0,75,0.0,37,10.0,5.0,5,9.0,116,45,0.0,6.0,5,0.0,3.0,0.0,2.0,418,3.0,5.0,0.0,5.0,8.0,67.0,49,0.0,9.0,26,29,3.0,2.0,19,3.0,15.0,0.0,3.0,35,12,39,83,129,20,112,15,127,0.0,1.0,3.0,0.0,0.0,43,67,10.0,10.0,40,64,6.0,25.0,0.0
9,Analytic,1,8,6,39,1.0,0.0,54,0.0,20,12.0,7.0,6,2.0,100,42,0.0,3.0,3,2.0,13.0,0.0,3.0,278,2.0,2.0,3.0,4.0,5.0,40.0,57,2.0,1.0,24,21,22.0,5.0,12,1.0,2.0,0.0,3.0,27,27,37,56,79,5,77,7,80,1.0,1.0,5.0,1.0,0.0,52,33,2.0,3.0,32,38,13.0,7.0,0.0
10,Analytic,1,11,18,52,8.0,7.0,41,0.0,23,7.0,3.0,6,6.0,102,37,0.0,6.0,6,0.0,4.0,1.0,4.0,306,2.0,4.0,1.0,0.0,3.0,56.0,47,0.0,10.0,18,21,6.0,1.0,22,1.0,15.0,0.0,5.0,19,16,36,73,90,15,94,13,95,0.0,0.0,3.0,0.0,0.0,42,48,12.0,8.0,25,39,9.0,6.0,0.0
