Subject_ID,Group,Experimental_condition,achieve,adverb,affect,anger,anx,article,assent,auxverb,bio,body,cause,certain,cogmech,conj,death,discrep,excl,family,feel,filler,friend,funct,future,health,hear,home,humans,i,incl,ingest,inhib,insight,ipron,leisure,money,motion,negate,negemo,nonfl,number,past,percept,posemo,ppron,preps,present,pronoun,quant,relativ,relig,sad,see,sexual,shehe,social,space,tentat,they,time,verb,we,work,you
1,Creative_1,1,26,27,52,0.0,0.0,56,0.0,34,9,3.0,15,8,117,50,0.0,9.0,6.0,2.0,0.0,0.0,5.0,339,4.0,2.0,0.0,14.0,4,17.0,55,1.0,1.0,12,26,8,7.0,17,3.0,1,0.0,1.0,47,6,51,63,90,11,89,13,88,1.0,0.0,3.0,3.0,0.0,79,39,7.0,14.0,29,67,32.0,19.0,0.0
2,Creative_1,1,8,8,45,0.0,1.0,72,1.0,24,8,4.0,7,3,105,37,0.0,4.0,6.0,0.0,7.0,0.0,0.0,350,4.0,2.0,2.0,0.0,2,66.0,44,1.0,4.0,32,34,7,0.0,21,0.0,1,0.0,0.0,30,23,44,70,103,10,104,11,101,1.0,0.0,10.0,1.0,0.0,16,52,9.0,3.0,23,47,1.0,0.0,0.0
3,Creative_1,1,21,21,53,2.0,3.0,70,0.0,36,7,2.0,18,12,126,47,0.0,5.0,9.0,0.0,5.0,0.0,5.0,398,3.0,4.0,0.0,1.0,9,35.0,52,1.0,2.0,21,45,8,4.0,12,2.0,6,0.0,2.0,46,16,44,58,115,10,103,17,112,1.0,2.0,4.0,1.0,0.0,66,55,3.0,4.0,43,60,19.0,22.0,0.0
4,Creative_1,1,13,13,56,0.0,3.0,58,0.0,18,6,2.0,9,3,99,52,0.0,0.0,6.0,1.0,4.0,2.0,3.0,322,0.0,4.0,2.0,3.0,8,59.0,53,0.0,2.0,24,21,15,6.0,22,2.0,5,0.0,2.0,30,19,50,62,104,7,83,6,116,2.0,2.0,6.0,0.0,0.0,31,66,0.0,3.0,29,37,0.0,8.0,0.0
5,Creative_1,1,28,18,56,0.0,0.0,55,0.0,36,8,3.0,11,11,124,50,0.0,3.0,10.0,2.0,7.0,0.0,1.0,379,0.0,2.0,4.0,1.0,7,61.0,57,0.0,0.0,24,36,9,7.0,23,3.0,1,0.0,1.0,44,18,54,76,108,15,112,11,94,3.0,1.0,2.0,3.0,0.0,56,39,3.0,9.0,30,69,6.0,14.0,0.0
6,Creative_1,1,19,9,71,0.0,3.0,61,0.0,26,7,3.0,11,5,119,48,0.0,3.0,2.0,0.0,11.0,1.0,2.0,308,0.0,1.0,3.0,2.0,6,41.0,60,2.0,3.0,29,27,19,2.0,20,0.0,4,1.0,3.0,36,22,66,48,88,15,75,7,88,3.0,0.0,3.0,1.0,0.0,63,41,5.0,7.0,26,56,0.0,4.0,0.0
7,Creative_1,1,12,10,72,0.0,5.0,53,0.0,29,4,0.0,7,2,115,44,0.0,7.0,9.0,0.0,11.0,1.0,2.0,303,0.0,1.0,2.0,1.0,12,36.0,48,2.0,3.0,32,26,14,2.0,11,3.0,8,0.0,1.0,38,23,63,54,88,12,80,6,79,2.0,2.0,5.0,1.0,0.0,83,40,9.0,17.0,28,60,1.0,4.0,0.0
8,Creative_1,1,18,16,47,0.0,4.0,43,0.0,29,4,0.0,8,4,116,50,0.0,0.0,7.0,0.0,1.0,1.0,1.0,353,0.0,2.0,0.0,1.0,13,52.0,59,0.0,1.0,31,36,18,3.0,19,2.0,4,1.0,3.0,28,11,39,69,109,10,105,14,89,0.0,0.0,2.0,2.0,10.0,75,42,6.0,3.0,28,42,4.0,6.0,0.0
9,Creative_1,1,11,12,46,0.0,2.0,59,0.0,24,14,2.0,5,5,107,48,0.0,5.0,4.0,1.0,5.0,1.0,1.0,320,4.0,8.0,2.0,3.0,4,53.0,56,2.0,4.0,27,19,19,2.0,27,2.0,3,0.0,2.0,29,20,42,61,101,8,80,7,116,2.0,0.0,8.0,2.0,2.0,27,52,2.0,1.0,39,43,5.0,4.0,0.0
10,Creative_1,1,15,8,43,1.0,1.0,65,0.0,29,8,1.0,2,5,87,39,0.0,2.0,6.0,0.0,3.0,0.0,1.0,322,0.0,3.0,6.0,0.0,7,28.0,55,1.0,2.0,14,37,13,3.0,25,1.0,2,0.0,2.0,39,22,41,43,101,14,80,11,109,5.0,0.0,6.0,3.0,3.0,49,49,4.0,6.0,28,57,6.0,1.0,0.0
