Subject_ID,Group,Experimental_condition,achieve,adverb,affect,anger,anx,article,assent,auxverb,bio,body,cause,certain,cogmech,conj,death,discrep,excl,family,feel,filler,friend,funct,future,health,hear,home,humans,i,incl,ingest,inhib,insight,ipron,leisure,money,motion,negate,negemo,nonfl,number,past,percept,posemo,ppron,preps,present,pronoun,quant,relativ,relig,sad,see,sexual,shehe,social,space,tentat,they,time,verb,we,work,you
1,Analytic,0,15,11,43,2.0,2.0,48,0.0,19,5,4.0,9,5.0,95,28,0.0,5.0,3,5.0,0.0,0.0,2.0,279,0.0,0.0,2.0,2.0,9,0.0,29,0.0,7.0,27,18,1.0,1.0,14,2.0,8.0,0.0,2.0,27,8,35,63,87,17,81,11,78,1.0,4.0,5.0,1.0,50.0,101,38,10.0,6.0,25,45,7.0,6.0,0.0
2,Analytic,0,7,24,42,1.0,7.0,55,2.0,39,5,4.0,2,10.0,125,44,0.0,9.0,15,0.0,6.0,2.0,4.0,386,3.0,0.0,6.0,5.0,6,69.0,40,0.0,3.0,37,45,4.0,2.0,17,2.0,10.0,1.0,2.0,48,16,31,77,97,10,122,14,103,0.0,3.0,3.0,1.0,1.0,54,62,19.0,2.0,26,70,4.0,6.0,1.0
3,Analytic,0,10,15,49,2.0,5.0,51,0.0,25,3,0.0,4,1.0,132,55,1.0,10.0,11,0.0,6.0,1.0,1.0,362,2.0,3.0,4.0,3.0,3,69.0,48,0.0,3.0,53,32,4.0,1.0,14,3.0,11.0,0.0,0.0,34,14,38,78,106,17,110,14,83,0.0,1.0,3.0,0.0,0.0,45,50,10.0,6.0,21,61,3.0,2.0,0.0
4,Analytic,0,15,16,47,6.0,1.0,63,1.0,37,5,4.0,8,9.0,121,51,0.0,5.0,12,0.0,3.0,2.0,0.0,369,3.0,1.0,7.0,1.0,13,58.0,43,0.0,2.0,23,30,5.0,2.0,16,5.0,10.0,0.0,1.0,33,16,36,73,97,17,103,12,95,1.0,1.0,3.0,0.0,0.0,58,44,19.0,10.0,34,57,4.0,9.0,0.0
5,Analytic,0,18,31,57,2.0,7.0,51,0.0,36,7,5.0,8,7.0,128,54,0.0,12.0,18,0.0,7.0,2.0,0.0,400,3.0,2.0,2.0,2.0,11,67.0,31,0.0,6.0,45,34,4.0,1.0,15,3.0,15.0,0.0,1.0,44,15,40,83,121,17,117,10,108,0.0,2.0,3.0,0.0,6.0,59,60,27.0,9.0,33,75,1.0,13.0,0.0
6,Analytic,0,7,24,46,1.0,4.0,46,1.0,30,8,1.0,11,6.0,103,36,0.0,9.0,14,0.0,4.0,0.0,1.0,385,2.0,5.0,7.0,5.0,2,76.0,28,2.0,4.0,29,37,7.0,4.0,16,2.0,7.0,0.0,3.0,42,18,39,100,115,6,137,7,106,1.0,2.0,2.0,0.0,14.0,51,53,14.0,1.0,36,58,8.0,3.0,1.0
7,Analytic,0,18,27,47,8.0,4.0,55,0.0,34,7,5.0,11,7.0,133,43,0.0,11.0,9,0.0,4.0,1.0,0.0,383,4.0,2.0,9.0,0.0,5,64.0,45,0.0,6.0,39,35,2.0,2.0,15,5.0,15.0,3.0,0.0,33,21,29,79,110,20,114,15,94,0.0,1.0,6.0,0.0,0.0,38,45,10.0,8.0,33,68,7.0,11.0,0.0
8,Analytic,0,11,20,35,3.0,3.0,53,0.0,33,10,3.0,2,6.0,123,46,0.0,13.0,16,0.0,5.0,1.0,1.0,371,5.0,5.0,4.0,0.0,1,77.0,38,2.0,5.0,39,35,5.0,1.0,13,1.0,13.0,1.0,1.0,42,15,22,83,102,7,118,11,94,0.0,6.0,5.0,0.0,0.0,25,59,17.0,6.0,20,61,0.0,10.0,0.0
9,Analytic,0,22,17,45,4.0,4.0,65,0.0,32,9,5.0,6,3.0,116,50,0.0,9.0,13,0.0,6.0,2.0,3.0,393,1.0,3.0,3.0,4.0,2,79.0,46,1.0,2.0,36,26,8.0,0.0,11,2.0,13.0,0.0,2.0,38,13,32,92,104,11,118,18,87,0.0,2.0,4.0,0.0,0.0,49,52,10.0,12.0,24,59,1.0,17.0,0.0
10,Analytic,0,12,19,44,2.0,5.0,52,0.0,18,14,10.0,4,7.0,122,35,0.0,6.0,8,0.0,6.0,0.0,0.0,374,0.0,3.0,9.0,1.0,3,52.0,41,0.0,10.0,34,22,7.0,1.0,14,2.0,9.0,0.0,1.0,34,32,35,105,123,14,127,10,97,1.0,2.0,15.0,1.0,35.0,88,58,13.0,5.0,25,51,2.0,11.0,11.0
