LIWC Feature,Extraversion correlation,Agreeableness correlation,Conscientiousness correlation,Neuroticism correlation,Openness correlation,Extraversion p-value,Agreeableness p-value,Conscientiousness p-value,Neuroticism p-value,Openness p-value
achieve,0.37268178891732423,0.37268178891732423,0.37268178891732423,0.37268178891732423,0.37268178891732423,1.2622216954643528e-05,1.2622216954643528e-05,1.2622216954643528e-05,1.2622216954643528e-05,1.2622216954643528e-05
adverb,-0.42765457291956854,-0.42765457291956854,-0.42765457291956854,-0.42765457291956854,-0.42765457291956854,3.8776195431948073e-07,3.8776195431948073e-07,3.8776195431948073e-07,3.8776195431948073e-07,3.8776195431948073e-07
affect,0.5509874140168958,0.5509874140168958,0.5509874140168958,0.5509874140168958,0.5509874140168958,1.1027144727413655e-11,1.1027144727413655e-11,1.1027144727413655e-11,1.1027144727413655e-11,1.1027144727413655e-11
anger,-0.5629543103820325,-0.5629543103820325,-0.5629543103820325,-0.5629543103820325,-0.5629543103820325,3.1359216571693464e-12,3.1359216571693464e-12,3.1359216571693464e-12,3.1359216571693464e-12,3.1359216571693464e-12
anx,-0.15071661106151318,-0.15071661106151318,-0.15071661106151318,-0.15071661106151318,-0.15071661106151318,0.0869651718998899,0.0869651718998899,0.0869651718998899,0.0869651718998899,0.0869651718998899
article,0.24294359657532127,0.24294359657532127,0.24294359657532127,0.24294359657532127,0.24294359657532127,0.005351402910394188,0.005351402910394188,0.005351402910394188,0.005351402910394188,0.005351402910394188
assent,-0.17936636976451076,-0.17936636976451076,-0.17936636976451076,-0.17936636976451076,-0.17936636976451076,0.04115844596293,0.04115844596293,0.04115844596293,0.04115844596293,0.04115844596293
auxverb,-0.2041444571632594,-0.2041444571632594,-0.2041444571632594,-0.2041444571632594,-0.2041444571632594,0.019821226201774483,0.019821226201774483,0.019821226201774483,0.019821226201774483,0.019821226201774483
bio,0.11022795699537864,0.11022795699537864,0.11022795699537864,0.11022795699537864,0.11022795699537864,0.21186193857102106,0.21186193857102106,0.21186193857102106,0.21186193857102106,0.21186193857102106
body,-0.14573776835648716,-0.14573776835648716,-0.14573776835648716,-0.14573776835648716,-0.14573776835648716,0.09803342682345305,0.09803342682345305,0.09803342682345305,0.09803342682345305,0.09803342682345305
cause,0.3988212036263707,0.3988212036263707,0.3988212036263707,0.3988212036263707,0.3988212036263707,2.603474943569825e-06,2.603474943569825e-06,2.603474943569825e-06,2.603474943569825e-06,2.603474943569825e-06
certain,0.24556467664985537,0.24556467664985537,0.24556467664985537,0.24556467664985537,0.24556467664985537,0.0048613551277537715,0.0048613551277537715,0.0048613551277537715,0.0048613551277537715,0.0048613551277537715
cogmech,-0.05977719862123752,-0.05977719862123752,-0.05977719862123752,-0.05977719862123752,-0.05977719862123752,0.49930305858625645,0.49930305858625645,0.49930305858625645,0.49930305858625645,0.49930305858625645
conj,0.15841081812406926,0.15841081812406926,0.15841081812406926,0.15841081812406926,0.15841081812406926,0.07184469294565644,0.07184469294565644,0.07184469294565644,0.07184469294565644,0.07184469294565644
