Subject_ID,Group,Experimental_condition,achieve,adverb,affect,anger,anx,article,assent,auxverb,bio,body,cause,certain,cogmech,conj,death,discrep,excl,family,feel,filler,friend,funct,future,health,hear,home,humans,i,incl,ingest,inhib,insight,ipron,leisure,money,motion,negate,negemo,nonfl,number,past,percept,posemo,ppron,preps,present,pronoun,quant,relativ,relig,sad,see,sexual,shehe,social,space,swear,tentat,they,time,verb,we,work,you
1,Analytic,1,10,26,47,1.0,7,41,0.0,23,4.0,2.0,6,4,120,49,0.0,6.0,3,0.0,5,0.0,5.0,355,1.0,2.0,2,11.0,7,72.0,57,0.0,6.0,32,29,1.0,3.0,20,2.0,9,1.0,4.0,32,11,37,83,103,14,112,13,118,0.0,2.0,1.0,0.0,4.0,49,62,0.0,11,3.0,37,52,4.0,15,0.0
2,Analytic,1,9,28,54,10.0,9,57,0.0,27,4.0,3.0,8,2,113,33,0.0,7.0,12,0.0,2,4.0,1.0,385,1.0,1.0,2,4.0,4,67.0,35,0.0,9.0,28,36,3.0,4.0,12,6.0,24,1.0,4.0,43,11,30,82,109,3,118,19,100,0.0,3.0,2.0,0.0,0.0,54,62,0.0,20,7.0,31,48,8.0,4,0.0
3,Analytic,1,12,25,48,1.0,4,42,0.0,29,6.0,1.0,8,5,105,45,0.0,8.0,12,0.0,5,1.0,4.0,360,1.0,2.0,4,1.0,9,64.0,33,3.0,2.0,33,34,12.0,4.0,13,4.0,9,0.0,5.0,41,17,39,86,103,12,120,11,100,0.0,4.0,7.0,0.0,17.0,58,55,0.0,9,1.0,31,62,4.0,8,0.0
4,Analytic,1,33,24,52,7.0,4,42,0.0,14,0.0,0.0,13,8,130,51,0.0,6.0,9,0.0,2,2.0,1.0,344,0.0,0.0,4,1.0,7,55.0,54,0.0,4.0,34,30,6.0,1.0,20,2.0,14,2.0,4.0,39,9,38,82,89,10,112,20,87,1.0,1.0,0.0,0.0,0.0,63,34,0.0,10,11.0,37,49,16.0,37,0.0
5,Analytic,1,16,8,43,2.0,4,62,0.0,27,8.0,3.0,10,6,106,31,0.0,4.0,3,0.0,2,0.0,1.0,306,3.0,3.0,2,0.0,6,56.0,38,0.0,6.0,28,22,9.0,3.0,17,0.0,8,1.0,1.0,37,9,34,65,94,8,87,10,91,1.0,2.0,4.0,2.0,0.0,36,50,0.0,13,5.0,22,55,4.0,9,0.0
6,Analytic,1,21,14,39,10.0,6,39,0.0,22,2.0,1.0,9,6,122,56,0.0,9.0,9,0.0,1,0.0,0.0,335,2.0,1.0,2,0.0,10,63.0,46,0.0,3.0,31,22,1.0,1.0,19,2.0,20,0.0,2.0,23,6,16,79,98,13,101,15,82,0.0,3.0,2.0,0.0,0.0,59,37,0.0,11,9.0,26,41,7.0,39,0.0
7,Analytic,1,7,16,42,2.0,4,62,0.0,30,9.0,5.0,7,6,120,40,0.0,7.0,4,0.0,4,1.0,3.0,375,1.0,3.0,4,1.0,3,61.0,56,1.0,5.0,27,34,8.0,3.0,18,2.0,10,0.0,3.0,47,23,32,76,118,10,110,8,118,0.0,4.0,7.0,0.0,0.0,38,59,0.0,14,1.0,39,64,14.0,5,0.0
8,Analytic,1,8,15,45,7.0,5,39,0.0,18,7.0,3.0,6,3,107,41,0.0,12.0,9,0.0,4,0.0,3.0,324,1.0,0.0,1,0.0,5,63.0,36,4.0,7.0,30,17,8.0,4.0,12,6.0,15,0.0,2.0,25,12,30,92,91,15,109,17,80,2.0,2.0,4.0,0.0,2.0,56,43,0.0,13,24.0,24,43,3.0,8,0.0
9,Analytic,1,16,12,50,3.0,5,52,0.0,38,3.0,3.0,5,6,134,40,0.0,12.0,6,0.0,5,1.0,5.0,377,7.0,0.0,3,1.0,10,56.0,55,0.0,6.0,37,35,1.0,2.0,12,3.0,10,0.0,3.0,37,14,37,86,106,11,121,17,83,1.0,1.0,2.0,0.0,9.0,61,42,0.0,8,0.0,27,63,21.0,33,0.0
10,Analytic,1,9,8,35,2.0,3,70,0.0,22,4.0,3.0,2,4,86,41,0.0,9.0,6,0.0,9,1.0,3.0,329,5.0,1.0,8,1.0,3,58.0,33,0.0,2.0,32,24,7.0,1.0,17,2.0,6,0.0,2.0,21,22,29,67,101,13,91,7,108,0.0,2.0,3.0,0.0,0.0,23,64,0.0,7,3.0,25,41,5.0,3,0.0
11,Analytic,1,13,14,64,9.0,8,37,0.0,43,2.0,1.0,10,8,139,43,0.0,7.0,5,0.0,3,1.0,10.0,359,4.0,0.0,1,0.0,2,69.0,56,1.0,7.0,39,28,1.0,1.0,17,2.0,24,0.0,4.0,40,8,36,81,99,8,109,17,100,2.0,6.0,1.0,0.0,0.0,41,53,0.0,6,4.0,30,58,8.0,6,0.0
12,Analytic,1,14,16,61,7.0,8,63,0.0,27,17.0,5.0,5,3,105,43,0.0,8.0,9,0.0,5,0.0,4.0,397,2.0,7.0,5,0.0,1,72.0,44,5.0,6.0,26,16,10.0,5.0,18,2.0,19,0.0,5.0,39,28,41,100,127,6,116,13,122,0.0,3.0,11.0,0.0,15.0,43,72,0.0,11,5.0,30,52,8.0,13,0.0
13,Analytic,1,11,26,60,11.0,6,49,0.0,40,12.0,5.0,5,8,123,43,1.0,8.0,17,0.0,2,1.0,3.0,411,1.0,3.0,10,2.0,4,78.0,43,4.0,6.0,30,26,3.0,0.0,14,7.0,24,1.0,3.0,50,28,35,109,120,14,135,7,114,1.0,5.0,14.0,0.0,15.0,60,76,0.0,7,9.0,21,71,2.0,10,5.0
14,Analytic,1,29,12,35,4.0,5,41,0.0,27,8.0,6.0,11,5,134,45,2.0,10.0,9,0.0,4,1.0,4.0,351,0.0,1.0,7,0.0,3,71.0,53,1.0,7.0,37,27,2.0,3.0,12,2.0,12,0.0,3.0,42,16,19,93,101,9,120,10,102,0.0,0.0,3.0,0.0,10.0,47,50,0.0,14,4.0,38,58,6.0,38,2.0
15,Analytic,1,11,15,48,2.0,2,51,0.0,23,11.0,2.0,3,6,110,38,0.0,5.0,11,0.0,6,1.0,2.0,354,2.0,4.0,3,1.0,5,62.0,43,5.0,9.0,26,23,11.0,4.0,14,3.0,8,0.0,2.0,35,20,40,87,102,12,110,19,102,0.0,4.0,7.0,0.0,17.0,58,61,0.0,11,3.0,26,51,5.0,5,0.0
16,Analytic,1,6,19,50,3.0,8,52,0.0,32,11.0,5.0,3,6,115,47,0.0,5.0,12,0.0,6,1.0,2.0,399,3.0,3.0,5,0.0,6,81.0,42,2.0,5.0,35,29,15.0,5.0,16,4.0,14,0.0,3.0,32,19,32,94,125,25,123,11,107,1.0,4.0,5.0,1.0,9.0,47,60,0.0,9,1.0,30,64,3.0,10,0.0
17,Analytic,1,10,22,53,8.0,7,48,0.0,37,7.0,1.0,9,4,137,47,0.0,13.0,14,0.0,6,0.0,1.0,390,5.0,3.0,1,0.0,2,74.0,44,3.0,5.0,44,39,10.0,6.0,16,0.0,22,2.0,1.0,38,17,30,85,114,19,124,15,93,1.0,3.0,3.0,0.0,6.0,34,55,0.0,20,3.0,18,67,2.0,10,0.0
18,Analytic,1,7,22,49,3.0,3,62,0.0,37,15.0,9.0,5,7,121,48,2.0,11.0,12,0.0,5,1.0,2.0,443,3.0,6.0,6,10.0,1,77.0,49,0.0,5.0,27,41,11.0,2.0,19,5.0,10,0.0,2.0,44,27,38,101,120,15,142,20,132,2.0,3.0,13.0,0.0,10.0,37,82,0.0,9,1.0,32,70,9.0,4,4.0
19,Analytic,1,6,13,51,3.0,4,67,0.0,26,13.0,4.0,4,4,104,46,0.0,4.0,12,0.0,9,1.0,1.0,390,0.0,5.0,6,0.0,10,68.0,52,4.0,3.0,22,33,12.0,5.0,16,3.0,17,0.0,1.0,49,24,33,82,120,7,115,13,124,0.0,9.0,6.0,0.0,6.0,46,73,0.0,7,8.0,36,58,0.0,7,0.0
