LIWC Feature,Extraversion correlation,Agreeableness correlation,Conscientiousness correlation,Neuroticism correlation,Openness correlation,Extraversion p-value,Agreeableness p-value,Conscientiousness p-value,Neuroticism p-value,Openness p-value
achieve,0.14854566245181036,0.14854566245181036,0.14854566245181036,0.14854566245181036,0.14854566245181036,0.09166212528758244,0.09166212528758244,0.09166212528758244,0.09166212528758244,0.09166212528758244
adverb,-0.10544935975877438,-0.10544935975877438,-0.10544935975877438,-0.10544935975877438,-0.10544935975877438,0.23246710739374332,0.23246710739374332,0.23246710739374332,0.23246710739374332,0.23246710739374332
affect,0.06825893305209584,0.06825893305209584,0.06825893305209584,0.06825893305209584,0.06825893305209584,0.4403185009163956,0.4403185009163956,0.4403185009163956,0.4403185009163956,0.4403185009163956
anger,-0.2046031753634079,-0.2046031753634079,-0.2046031753634079,-0.2046031753634079,-0.2046031753634079,0.01954011480376029,0.01954011480376029,0.01954011480376029,0.01954011480376029,0.01954011480376029
anx,0.0031412234903820005,0.0031412234903820005,0.0031412234903820005,0.0031412234903820005,0.0031412234903820005,0.9717052620724782,0.9717052620724782,0.9717052620724782,0.9717052620724782,0.9717052620724782
article,0.012358119796556412,0.012358119796556412,0.012358119796556412,0.012358119796556412,0.012358119796556412,0.8890165851391096,0.8890165851391096,0.8890165851391096,0.8890165851391096,0.8890165851391096
assent,0.030303030303030314,0.030303030303030314,0.030303030303030314,0.030303030303030314,0.030303030303030314,0.7321632528639028,0.7321632528639028,0.7321632528639028,0.7321632528639028,0.7321632528639028
auxverb,-0.09083927592204984,-0.09083927592204984,-0.09083927592204984,-0.09083927592204984,-0.09083927592204984,0.30402006458682396,0.30402006458682396,0.30402006458682396,0.30402006458682396,0.30402006458682396
bio,0.042528139169102266,0.042528139169102266,0.042528139169102266,0.042528139169102266,0.042528139169102266,0.630921925133004,0.630921925133004,0.630921925133004,0.630921925133004,0.630921925133004
body,-0.06213946717656486,-0.06213946717656486,-0.06213946717656486,-0.06213946717656486,-0.06213946717656486,0.4824701066893671,0.4824701066893671,0.4824701066893671,0.4824701066893671,0.4824701066893671
cause,0.08357373981955288,0.08357373981955288,0.08357373981955288,0.08357373981955288,0.08357373981955288,0.3444857478130333,0.3444857478130333,0.3444857478130333,0.3444857478130333,0.3444857478130333
certain,0.01793866991831861,0.01793866991831861,0.01793866991831861,0.01793866991831861,0.01793866991831861,0.8394686469311318,0.8394686469311318,0.8394686469311318,0.8394686469311318,0.8394686469311318
cogmech,0.06287764387816804,0.06287764387816804,0.06287764387816804,0.06287764387816804,0.06287764387816804,0.4772732505805152,0.4772732505805152,0.4772732505805152,0.4772732505805152,0.4772732505805152
conj,0.10431326277775592,0.10431326277775592,0.10431326277775592,0.10431326277775592,0.10431326277775592,0.23756601630326582,0.23756601630326582,0.23756601630326582,0.23756601630326582,0.23756601630326582
death,1.1202090262972612e-17,1.1202090262972612e-17,1.1202090262972612e-17,1.1202090262972612e-17,1.1202090262972612e-17,1.0000000000000009,1.0000000000000009,1.0000000000000009,1.0000000000000009,1.0000000000000009
discrep,-0.14130814398397373,-0.14130814398397373,-0.14130814398397373,-0.14130814398397373,-0.14130814398397373,0.10878955267383227,0.10878955267383227,0.10878955267383227,0.10878955267383227,0.10878955267383227
excl,-0.08259850330250607,-0.08259850330250607,-0.08259850330250607,-0.08259850330250607,-0.08259850330250607,0.35016476678585423,0.35016476678585423,0.35016476678585423,0.35016476678585423,0.35016476678585423
family,0.008644815216780344,0.008644815216780344,0.008644815216780344,0.008644815216780344,0.008644815216780344,0.9222372924506349,0.9222372924506349,0.9222372924506349,0.9222372924506349,0.9222372924506349
feel,-0.05312712801367359,-0.05312712801367359,-0.05312712801367359,-0.05312712801367359,-0.05312712801367359,0.5482954804115876,0.5482954804115876,0.5482954804115876,0.5482954804115876,0.5482954804115876
filler,-0.03815904560352947,-0.03815904560352947,-0.03815904560352947,-0.03815904560352947,-0.03815904560352947,0.6664429039020385,0.6664429039020385,0.6664429039020385,0.6664429039020385,0.6664429039020385
friend,0.0036157675968039593,0.0036157675968039593,0.0036157675968039593,0.0036157675968039593,0.0036157675968039593,0.9674329733634573,0.9674329733634573,0.9674329733634573,0.9674329733634573,0.9674329733634573
funct,-0.07607169447647641,-0.07607169447647641,-0.07607169447647641,-0.07607169447647641,-0.07607169447647641,0.38966717756864244,0.38966717756864244,0.38966717756864244,0.38966717756864244,0.38966717756864244
future,-0.14907856058599686,-0.14907856058599686,-0.14907856058599686,-0.14907856058599686,-0.14907856058599686,0.09049092275816717,0.09049092275816717,0.09049092275816717,0.09049092275816717,0.09049092275816717
health,0.10442188125943908,0.10442188125943908,0.10442188125943908,0.10442188125943908,0.10442188125943908,0.23707517822027446,0.23707517822027446,0.23707517822027446,0.23707517822027446,0.23707517822027446
hear,-0.0876025367258638,-0.0876025367258638,-0.0876025367258638,-0.0876025367258638,-0.0876025367258638,0.3216452126094666,0.3216452126094666,0.3216452126094666,0.3216452126094666,0.3216452126094666
home,-0.04790329120094213,-0.04790329120094213,-0.04790329120094213,-0.04790329120094213,-0.04790329120094213,0.5883578209672257,0.5883578209672257,0.5883578209672257,0.5883578209672257,0.5883578209672257
humans,0.011383867172537778,0.011383867172537778,0.011383867172537778,0.011383867172537778,0.011383867172537778,0.8977164067401315,0.8977164067401315,0.8977164067401315,0.8977164067401315,0.8977164067401315
i,-0.13055704251569808,-0.13055704251569808,-0.13055704251569808,-0.13055704251569808,-0.13055704251569808,0.1387273100432122,0.1387273100432122,0.1387273100432122,0.1387273100432122,0.1387273100432122
incl,0.2155948028710225,0.2155948028710225,0.2155948028710225,0.2155948028710225,0.2155948028710225,0.013760304950834419,0.013760304950834419,0.013760304950834419,0.013760304950834419,0.013760304950834419
ingest,0.015001172012346992,0.015001172012346992,0.015001172012346992,0.015001172012346992,0.015001172012346992,0.8654841715676918,0.8654841715676918,0.8654841715676918,0.8654841715676918,0.8654841715676918
