LIWC Feature,Extraversion correlation,Agreeableness correlation,Conscientiousness correlation,Neuroticism correlation,Openness correlation,Writing_Extraversion correlation,Writing_Agreeableness correlation,Writing_Conscientiousness correlation,Writing_Neuroticism correlation,Writing_Openness correlation,Word_Length correlation,Story correlation,Extraversion p-value,Agreeableness p-value,Conscientiousness p-value,Neuroticism p-value,Openness p-value,Writing_Extraversion p-value,Writing_Agreeableness p-value,Writing_Conscientiousness p-value,Writing_Neuroticism p-value,Writing_Openness p-value,Word_Length p-value,Story p-value
achieve,0.17392290780371594,0.14877758548689624,0.1900288117471528,0.0932148171276675,0.09793188885573159,0.2126840251750478,0.13153003011334613,0.18921261917692833,-0.008202595779664127,0.13167800695792028,0.2631675123692519,0.08483257348127284,0.04781787394115722,0.0911509342264315,0.030348791404505082,0.2914956484733485,0.2676554614607128,0.01512329403646213,0.13578370780644808,0.031080935652006775,0.9262036573648514,0.13534023737168335,0.002485488702126333,0.33724167577524355
adverb,0.02731930311183867,-0.067720917493119,-0.003014166717284752,-0.07112901930306796,-0.09409318497014116,-0.012132010086588815,-0.037385852781856466,0.051982177800288736,-0.13438898934700558,-0.03143279908961535,0.30390232804545647,-0.12760845812262503,0.7576736220442104,0.4439385998146781,0.9728492868798638,0.4212918012259661,0.2869527460404767,0.8910345478136931,0.6728096679379343,0.5569612530415238,0.1274100433353372,0.7225780459088074,0.0004396391523826644,0.14794454100860788
affect,0.2909467423761044,0.21137859864778824,0.20660839331740263,0.08443589735421737,0.14041590868419743,0.28741228807534935,0.2030670411550327,0.16158727255449606,0.026437491772253963,0.1547853188417006,0.31542490576311233,0.14697220072098122,0.0007844654822216145,0.015771787073067645,0.018351313732678697,0.33951386868806954,0.11106375731893392,0.0009144703490471881,0.020495244344743972,0.06625806597649188,0.7652645900488244,0.07868072496225839,0.0002567465366625192,0.09519063239993734
anger,-0.2783148762911666,-0.33125894763664954,-0.32609896389647813,-0.1989841518422127,-0.32482836239736806,-0.31281872277155076,-0.316647413578481,-0.3008514024489978,0.14273665311834063,-0.3632311121199686,0.08162246634490414,-0.11452521874148917,0.0013448982365215588,0.00011824809976770423,0.0001529512271415116,0.023231740115860034,0.00016284296608621806,0.000290515871002845,0.00024219336937507117,0.0005050910124507649,0.10522444002832176,2.1619258257815575e-05,0.3559068519224895,0.19447629844943756
anx,0.03476660544653385,-0.10004549229388375,-0.12198453765339044,-0.17803006163622048,-0.1372590614367841,-0.03820020930814903,-0.06014955391051622,-0.03344701691115461,-0.03725351056197588,-0.10037266265344319,0.21632401764175932,0.11003318642559354,0.6945480594786271,0.2574154370827912,0.16679559199708638,0.042716764205525525,0.11940895365920626,0.6661046061291691,0.496629442122679,0.705596108562005,0.6739017669105466,0.25585469473637756,0.013436122813254757,0.2126754098477641
article,-0.02026150490913408,0.0007714805152764262,0.08307255936046627,-0.10199958736398268,-0.02116365628442579,-0.029319209912947144,0.017954795277619236,0.006726564236680686,-0.08639084148418431,0.0021101883809899764,0.5031585271589323,0.10535326162334219,0.8190173846759591,0.9930494950453563,0.34739694079310734,0.2481901314145414,0.8111063373058556,0.7405440333369429,0.8393262854904262,0.9394550937927018,0.3284095644189068,0.9809902046633726,1.0535916157462308e-09,0.23289540974229397
assent,0.09221330063146384,0.06556021999539095,0.060487576246046844,-0.08619544252332854,0.058719851799823176,0.029146616345553326,0.028999017061951012,-0.03614414714713402,-0.017417490910973117,0.004919506764249084,0.054930365795769966,0.02214123719683318,0.2967334611639289,0.45864505967365377,0.4942088932980122,0.3295088642862525,0.5069361018548949,0.7420174651774434,0.7432782626409645,0.6830828556245361,0.84407260368935,0.9557006140566537,0.5347822261792337,0.8025553340782101
auxverb,-0.08263994798166505,0.004486087843640702,-0.030627848575241142,0.03395263713168715,-0.11070074079001414,-0.11414319060419348,-0.07934204947631575,-0.07114680089445725,0.033555688869238647,-0.0801409678012748,0.39150627999372756,-0.05911607977713599,0.34992223766801245,0.95960002621666,0.7294031150620766,0.7013554792442707,0.20989657752637186,0.1959786391250434,0.3695497690113614,0.4211754274724313,0.7046839104112943,0.36473400006134415,4.105378934230169e-06,0.5040686303564604
bio,0.1562702225882649,0.13555079796010983,0.08654539046442164,0.21783267961463484,0.18034652819334077,0.07833183914474996,0.10754394759644312,0.056591672081898976,0.029450117745149412,0.12912274780327024,0.22690608775053875,0.10236808406738102,0.07582018076698484,0.12412291963221261,0.3275417501637401,0.012786535344216724,0.04004594587039701,0.37569480444067693,0.22326863239856234,0.5224812889089986,0.7394270993305594,0.1431547556522802,0.00942901446936844,0.2464764015658554
body,0.04758948197966814,0.004860981736535274,-0.028909070921532578,0.021113831775746054,0.06814995557395917,0.018083840207980775,0.013099956178422167,-0.04160304856194718,-0.055954565558232486,0.04681375871616865,0.16833639257601687,0.06362720607411747,0.5908064152384525,0.956227096777619,0.7440469192494548,0.8115427638363149,0.4410504140250867,0.8381872101885707,0.882400970851543,0.6383764814197578,0.5271816277480541,0.5968790270178238,0.05555907343642408,0.4720273712738515
