LIWC Feature,Extraversion correlation,Agreeableness correlation,Conscientiousness correlation,Neuroticism correlation,Openness correlation,Extraversion p-value,Agreeableness p-value,Conscientiousness p-value,Neuroticism p-value,Openness p-value
achieve,0.0035430487098336524,0.0035430487098336524,0.0035430487098336524,0.0035430487098336524,0.0035430487098336524,0.9680875997162464,0.9680875997162464,0.9680875997162464,0.9680875997162464,0.9680875997162464
adverb,0.015616224176271986,0.015616224176271986,0.015616224176271986,0.015616224176271986,0.015616224176271986,0.8600241410625381,0.8600241410625381,0.8600241410625381,0.8600241410625381,0.8600241410625381
affect,0.0037625425293755666,0.0037625425293755666,0.0037625425293755666,0.0037625425293755666,0.0037625425293755666,0.9661117498683907,0.9661117498683907,0.9661117498683907,0.9661117498683907,0.9661117498683907
anger,-0.04128223207504074,-0.04128223207504074,-0.04128223207504074,-0.04128223207504074,-0.04128223207504074,0.640970191175603,0.640970191175603,0.640970191175603,0.640970191175603,0.640970191175603
anx,0.03815067975579237,0.03815067975579237,0.03815067975579237,0.03815067975579237,0.03815067975579237,0.6665116655762747,0.6665116655762747,0.6665116655762747,0.6665116655762747,0.6665116655762747
article,-0.014590550918533033,-0.014590550918533033,-0.014590550918533033,-0.014590550918533033,-0.014590550918533033,0.869132948764397,0.869132948764397,0.869132948764397,0.869132948764397,0.869132948764397
assent,-3.380202776458589e-17,-3.380202776458589e-17,-3.380202776458589e-17,-3.380202776458589e-17,-3.380202776458589e-17,1.0000000000000009,1.0000000000000009,1.0000000000000009,1.0000000000000009,1.0000000000000009
auxverb,-0.011780826887465652,-0.011780826887465652,-0.011780826887465652,-0.011780826887465652,-0.011780826887465652,0.8941701332949102,0.8941701332949102,0.8941701332949102,0.8941701332949102,0.8941701332949102
bio,-0.025589669772560223,-0.025589669772560223,-0.025589669772560223,-0.025589669772560223,-0.025589669772560223,0.7725840438669394,0.7725840438669394,0.7725840438669394,0.7725840438669394,0.7725840438669394
body,-0.014699922843982383,-0.014699922843982383,-0.014699922843982383,-0.014699922843982383,-0.014699922843982383,0.8681607979306701,0.8681607979306701,0.8681607979306701,0.8681607979306701,0.8681607979306701
cause,0.0021218800632491004,0.0021218800632491004,0.0021218800632491004,0.0021218800632491004,0.0021218800632491004,0.9808848990996147,0.9808848990996147,0.9808848990996147,0.9808848990996147,0.9808848990996147
certain,-0.005892965757831575,-0.005892965757831575,-0.005892965757831575,-0.005892965757831575,-0.005892965757831575,0.9469464910791218,0.9469464910791218,0.9469464910791218,0.9469464910791218,0.9469464910791218
cogmech,-0.009946239132413931,-0.009946239132413931,-0.009946239132413931,-0.009946239132413931,-0.009946239132413931,0.9105759769486024,0.9105759769486024,0.9105759769486024,0.9105759769486024,0.9105759769486024
conj,-0.0013812352327049633,-0.0013812352327049633,-0.0013812352327049633,-0.0013812352327049633,-0.0013812352327049633,0.9875563704932818,0.9875563704932818,0.9875563704932818,0.9875563704932818,0.9875563704932818
