LIWC Feature,Extraversion correlation,Agreeableness correlation,Conscientiousness correlation,Neuroticism correlation,Openness correlation,Writing_Extraversion correlation,Writing_Agreeableness correlation,Writing_Conscientiousness correlation,Writing_Neuroticism correlation,Writing_Openness correlation,Word_Length correlation,Story correlation,Extraversion p-value,Agreeableness p-value,Conscientiousness p-value,Neuroticism p-value,Openness p-value,Writing_Extraversion p-value,Writing_Agreeableness p-value,Writing_Conscientiousness p-value,Writing_Neuroticism p-value,Writing_Openness p-value,Word_Length p-value,Story p-value
achieve,-0.0905135177550694,0.07349092207046064,0.02519260255241516,0.11197867992552821,-0.08649893591500299,-0.10466123062483068,-0.00849404754252303,0.0581344904986692,0.05404318103691118,-0.07173373689850013,0.24084667113121988,-0.04037257615200484,0.30576467320040734,0.4059979073818636,0.7760189527664101,0.2046495503507358,0.32780244423331095,0.23599607893881713,0.9235893516501085,0.5111877658481774,0.5414098935818457,0.4173446286255783,0.00577470112327551,0.6483480059980942
adverb,-0.0413248898777121,-0.01773604887110368,0.09916555718113228,-0.014953263601360027,-0.10994971922449348,-0.0299914185545457,-0.024681152434469413,0.08662874096707843,-0.023472588050622245,-0.15547425452217895,0.14774839149057778,-0.18057063125213002,0.6406250643059428,0.8412579114873595,0.2616454451240335,0.8659097410313685,0.2130246971846125,0.7348143910456397,0.7804497325215167,0.3270743365042642,0.7909475285326674,0.07734293775551937,0.09343680833561199,0.039795156207566365
affect,-0.0402300128193017,-0.16498723512547533,-0.11688638053191795,0.05440309381080277,-0.010524832971428942,-0.023359614038198816,-0.22724238869865984,-0.08351542165446715,-0.038002317226902345,0.013657190688766292,0.038007587987880356,-0.09215694692813937,0.6495073962480407,0.060675585879122244,0.18537593355816415,0.538716304675843,0.9053974854962403,0.7919307901071315,0.00932112734821958,0.34482370582054134,0.6677315659305814,0.8774369164095936,0.6676882125826592,0.29703002150025665
anger,-0.04733208414014106,0.05391734002630349,0.014060572402668005,-0.010358982734727617,-0.039230904284960615,-0.06956311238913018,0.057112041895895437,-0.01094227909820742,-0.02824832636052133,-0.0719031196046216,0.07613996882744815,0.1768064776164076,0.5928182937026292,0.5423532538155847,0.8738463988043972,0.9068814703882666,0.6576560272003685,0.43161297081809746,0.5186580418346096,0.9016637418371332,0.7497011546039841,0.4162428913683922,0.3892405797015749,0.044186572122843715
anx,-0.05147074154076276,0.09616199268681332,-0.07152312849878048,0.04912423514314013,0.07068948194363865,-0.07568692954241375,-0.015833851776114762,-0.0084896268877219,0.04758864328888432,0.13169804078802752,0.11443862892786666,-0.05332772723408468,0.5608533460080508,0.2764404282108132,0.418716881634581,0.5788754083995644,0.42417432723054116,0.3920765499178892,0.8580937547737169,0.9236289986519088,0.5908129655878055,0.13528028325552752,0.19481608220157798,0.5467840115946265
article,0.026694790979317796,-0.04722763897738685,0.007956380567650254,0.21218717259506686,-0.026476083460077973,0.045145415241438884,-0.023264548293987136,-0.03079078587286888,0.22311416048238936,-0.07296974877939241,0.3403243747121793,-0.13911957589632132,0.7630473212974618,0.5936355443966238,0.9284128086815507,0.015367326108732404,0.7649319055609518,0.6100334806374839,0.7927584418560241,0.7280198595707382,0.010723806909751844,0.4093441543545816,7.440436652922012e-05,0.11443383926125907
assent,-0.019309625119115853,-0.13685917914873813,-0.048260247220665145,-0.034251213669051046,-0.07358302774742376,-0.001758925917423982,-0.14152669664129505,-0.04585131888198628,-0.06341030771030344,-0.05275076314225489,-0.05092580597917041,0.05025839041144855,0.8273842748746219,0.12049980888470258,0.5855782073853565,0.6988556226617619,0.4054082164896946,0.984154127534355,0.10823807627140794,0.6044520751339632,0.47354211785448186,0.5511367943553303,0.5650146375527207,0.570131122467143
auxverb,0.034413667383046506,-0.0353327156603782,-0.056734602854682264,-0.03556753636116302,0.043242038204409944,-0.06002398206089376,-0.03364623436722988,-0.09534718404373815,0.11269659256113919,0.0002170189517502334,0.4080684892818675,-0.026289905443830565,0.697496817897393,0.6898278130156061,0.5214297281315733,0.6878733513603686,0.6251944032652182,0.4975302398120143,0.7039241870510153,0.28054935315061635,0.20174359632987612,0.9980447870933993,1.4410385654079057e-06,0.7665372708442729
bio,-0.14121620822860695,-0.011038393126957185,-0.05404607561928273,0.18495280542744716,-0.05244402763614483,-0.15258514316127542,0.02951866323240995,-0.03512456665207187,0.18726039441499295,-0.05982477038333523,0.20234603292004585,-0.029718689850280432,0.10902219049780172,0.900804375035298,0.5413882040339137,0.03514967396722334,0.5534577308267647,0.08307806158641907,0.7388424707968465,0.6915619922777467,0.03289311151372108,0.4989610594306969,0.020957251277558424,0.7371372857436571
body,-0.04644321028552848,-0.1301957935741391,-0.052028064275879284,0.18925051152306596,-0.03068519047583371,-0.06946461882685831,-0.13724799874947383,0.008592118072882923,0.21989071403816327,4.185230462330213e-05,0.1407344832323191,-0.0769521899955927,0.5997896708853125,0.13983248428684122,0.556612688046062,0.03104661672350678,0.7289162117202741,0.4322669638898864,0.11943902882203528,0.9227098465481987,0.011944769145662252,0.9996229350320147,0.11024752823275041,0.38418715885618393
cause,-0.12531801011233684,-0.06066838259305284,0.0002747337873967206,0.000546400638531795,-0.08931236821366631,-0.11248881220825314,-0.05323464477567403,-0.021602868222921328,0.006571997230636991,-0.1593796512552743,0.10956661677801033,0.02827911843802364,0.15541791720133313,0.49291671933295145,0.9975248119000157,0.995077278133353,0.31225405103183257,0.20258157148399086,0.547485112838854,0.8072616835136097,0.9408437791207317,0.07010172376707911,0.2146331259780231,0.7494373572535994
certain,-0.09795993328491442,0.17864920293845907,0.020778263747495675,0.07103236246267025,-0.008062187483363601,-0.1958040757883773,0.1718790017118583,-0.004316864177369892,0.2205691736281749,-0.06514382816889876,0.3287991087289637,-0.11100611810229992,0.26751780534449066,0.04198873748338725,0.8144835973452249,0.42192470951671535,0.9274633946307109,0.02557498073923875,0.050539156238847596,0.9611227733739762,0.0116781168682861,0.4615098626376798,0.00013375768942157828,0.2086340782584554
cogmech,0.03846120550509657,0.08560123008162669,0.0025395189662572363,-0.01552445534662335,-0.06426049848393989,-0.056735908528935265,0.029995073294696,-0.03309507458740153,0.09228347603802033,-0.09236616580353535,0.48599490886134733,-0.027109016119097315,0.6639612121240959,0.3328663141001046,0.9771235058125085,0.8608383915460558,0.4676198030150218,0.5214201270750485,0.7347832789804963,0.7085531962025022,0.2963644380595566,0.2959299967849038,4.588466186547068e-09,0.7594817873123753
conj,-0.09506989290655907,-0.027390900382803823,-0.04606471672206768,0.04445007857611423,-0.019345893881857888,-0.09376821217793006,-0.0706009235856899,-0.08520176625121802,0.021277758350903182,-0.017268082479453606,0.4248095606914061,-0.16600270521838797,0.28195698035050376,0.7570582869670709,0.6027692602292813,0.6155533367293973,0.8270651161057949,0.28862796316810235,0.4247564773100816,0.33513560985364843,0.8101071047628597,0.8453934167306509,4.716589857383651e-07,0.05908502679197362
