Subject_ID,Group,Experimental_condition,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness
1,Analytic,0,0,0,0,0,0
2,Analytic,0,0,0,0,0,0
3,Analytic,0,0,0,0,0,0
4,Analytic,0,0,0,0,0,0
5,Analytic,0,0,0,0,0,0
6,Analytic,0,0,0,0,0,0
7,Analytic,0,0,0,0,0,0
8,Analytic,0,0,0,0,0,0
9,Analytic,0,0,0,0,0,0
10,Analytic,0,0,0,0,0,0
11,Analytic,0,0,0,0,0,0
12,Analytic,0,0,0,0,0,0
13,Analytic,0,0,0,0,0,0
14,Analytic,0,0,0,0,0,0
15,Analytic,0,0,0,0,0,0
16,Analytic,0,0,0,0,0,0
17,Analytic,0,0,0,0,0,0
18,Analytic,0,0,0,0,0,0
19,Analytic,0,0,0,0,0,0
20,Analytic,0,0,0,0,0,0
21,Analytic,0,0,0,0,0,0
22,Analytic,0,0,0,0,0,0
23,Analytic,0,0,0,0,0,0
24,Analytic,0,0,0,0,0,0
25,Analytic,0,0,0,0,0,0
26,Analytic,0,0,0,0,0,0
27,Analytic,0,0,0,0,0,0
28,Analytic,0,0,0,0,0,0
29,Analytic,0,0,0,0,0,0
30,Analytic,0,0,0,0,0,0
31,Analytic,0,0,0,0,0,0
32,Analytic,0,0,0,0,0,0
33,Analytic,0,0,0,0,0,0
34,Analytic,0,0,0,0,0,0
35,Analytic,0,0,0,0,0,0
36,Analytic,0,0,0,0,0,0
37,Analytic,0,0,0,0,0,0
38,Analytic,0,0,0,0,0,0
39,Analytic,0,0,0,0,0,0
40,Analytic,0,0,0,0,0,0
41,Analytic,0,0,0,0,0,0
42,Analytic,0,0,0,0,0,0
43,Analytic,0,0,0,0,0,0
44,Analytic,0,0,0,0,0,0
45,Analytic,0,0,0,0,0,0
46,Analytic,0,0,0,0,0,0
47,Analytic,0,0,0,0,0,0
48,Analytic,0,0,0,0,0,0
49,Analytic,0,0,0,0,0,0
50,Analytic,0,0,0,0,0,0
51,Analytic,0,0,0,0,0,0
52,Analytic,0,0,0,0,0,0
53,Analytic,0,0,0,0,0,0
54,Analytic,0,0,0,0,0,0
55,Analytic,0,0,0,0,0,0
56,Analytic,0,0,0,0,0,0
57,Analytic,0,0,0,0,0,0
58,Analytic,0,0,0,0,0,0
59,Analytic,0,0,0,0,0,0
60,Analytic,0,0,0,0,0,0
61,Analytic,0,0,0,0,0,0
62,Analytic,0,0,0,0,0,0
63,Analytic,0,0,0,0,0,0
64,Analytic,0,0,0,0,0,0
65,Analytic,0,0,0,0,0,0
66,Creative,0,1,1,1,1,1
67,Creative,0,1,1,1,1,1
68,Creative,0,1,1,1,1,1
69,Creative,0,1,1,1,1,1
70,Creative,0,1,1,1,1,1
71,Creative,0,1,1,1,1,1
72,Creative,0,1,1,1,1,1
73,Creative,0,1,1,1,1,1
74,Creative,0,1,1,1,1,1
75,Creative,0,1,1,1,1,1
76,Creative,0,1,1,1,1,1
77,Creative,0,1,1,1,1,1
78,Creative,0,1,1,1,1,1
79,Creative,0,1,1,1,1,1
80,Creative,0,1,1,1,1,1
81,Creative,0,1,1,1,1,1
82,Creative,0,1,1,1,1,1
83,Creative,0,1,1,1,1,1
84,Creative,0,1,1,1,1,1
85,Creative,0,1,1,1,1,1
86,Creative,0,1,1,1,1,1
87,Creative,0,1,1,1,1,1
88,Creative,0,1,1,1,1,1
89,Creative,0,1,1,1,1,1
90,Creative,0,1,1,1,1,1
91,Creative,0,1,1,1,1,1
92,Creative,0,1,1,1,1,1
93,Creative,0,1,1,1,1,1
94,Creative,0,1,1,1,1,1
95,Creative,0,1,1,1,1,1
96,Creative,0,1,1,1,1,1
97,Creative,0,1,1,1,1,1
98,Creative,0,1,1,1,1,1
99,Creative,0,1,1,1,1,1
100,Creative,0,1,1,1,1,1
101,Creative,0,1,1,1,1,1
102,Creative,0,1,1,1,1,1
103,Creative,0,1,1,1,1,1
104,Creative,0,1,1,1,1,1
105,Creative,0,1,1,1,1,1
106,Creative,0,1,1,1,1,1
107,Creative,0,1,1,1,1,1
108,Creative,0,1,1,1,1,1
109,Creative,0,1,1,1,1,1
110,Creative,0,1,1,1,1,1
111,Creative,0,1,1,1,1,1
112,Creative,0,1,1,1,1,1
113,Creative,0,1,1,1,1,1
114,Creative,0,1,1,1,1,1
115,Creative,0,1,1,1,1,1
116,Creative,0,1,1,1,1,1
117,Creative,0,1,1,1,1,1
118,Creative,0,1,1,1,1,1
119,Creative,0,1,1,1,1,1
120,Creative,0,1,1,1,1,1
121,Creative,0,1,1,1,1,1
122,Creative,0,1,1,1,1,1
123,Creative,0,1,1,1,1,1
124,Creative,0,1,1,1,1,1
125,Creative,0,1,1,1,1,1
126,Creative,0,1,1,1,1,1
127,Creative,0,1,1,1,1,1
128,Creative,0,1,1,1,1,1
129,Creative,0,1,1,1,1,1
130,Creative,0,1,1,1,1,1
